class,item,category,probability
1,X3.2,1,0.08854166666666667
2,X3.2,1,1e-15
0,X3.2,2,1e-15
1,X3.2,2,0.23177083333333334
2,X3.2,2,1e-15
0,X3.2,3,1e-15
1,X3.2,3,0.2656250000000001
2,X3.2,3,0.2531645569602565
0,X3.2,4,0.4500941619581337
1,X3.2,4,0.2838541666666667
2,X3.2,4,0.4556962025325809
0,X3.2,5,0.5499058380418652
1,X3.2,5,0.13020833333333334
2,X3.2,5,0.2911392405071641
0,X3.3,1,1e-15
1,X3.3,1,0.057291666666666664
2,X3.3,1,1e-15
0,X3.3,2,1e-15
1,X3.3,2,0.23177083333333334
2,X3.3,2,1e-15
0,X3.3,3,1e-15
1,X3.3,3,0.25781250000000006
2,X3.3,3,0.2827004219389533
0,X3.3,4,0.474576271187498
1,X3.3,4,0.2838541666666668
2,X3.3,4,0.4683544303774207
0,X3.3,5,0.525423728812501
1,X3.3,5,0.16927083333333334
2,X3.3,5,0.24894514768362755
0,X3.4,1,1e-15
1,X3.4,1,0.078125
2,X3.4,1,1e-15
0,X3.4,2,1e-15
1,X3.4,2,0.2421875
2,X3.4,2,1e-15
0,X3.4,3,1e-15
1,X3.4,3,0.27604166666666674
2,X3.4,3,0.25738396624292753
0,X3.4,4,0.4915254237281561
1,X3.4,4,0.2604166666666667
2,X3.4,4,0.5358649789041161
0,X3.4,5,0.5084745762718429
1,X3.4,5,0.14322916666666666
2,X3.4,5,0.2067510548529578
0,X1.2,1,1e-15
1,X1.2,1,0.08072916666666667
2,X1.2,1,1e-15
0,X1.2,2,1e-15
1,X1.2,2,0.234375
2,X1.2,2,1e-15
0,X1.2,3,1e-15
1,X1.2,3,0.2760416666666667
2,X1.2,3,0.2573839662429276
0,X1.2,4,0.4896421845577156
1,X1.2,4,0.26822916666666674
2,X1.2,4,0.5105485232059843
0,X1.2,5,0.5103578154422834
1,X1.2,5,0.140625
2,X1.2,5,0.23206751055108957
0,X3.5,1,1e-15
1,X3.5,1,0.0859375
2,X3.5,1,1e-15
0,X3.5,2,1e-15
1,X3.5,2,0.25
2,X3.5,2,1e-15
0,X3.5,3,1e-15
1,X3.5,3,0.26302083333333337
2,X3.5,3,0.23206751054690192
0,X3.5,4,0.5103578154428337
1,X3.5,4,0.23437500000000008
2,X3.5,4,0.5063291139234681
0,X3.5,5,0.4896421845571653
1,X3.5,5,0.16666666666666666
2,X3.5,5,0.2616033755296314
0,X3.6,1,1e-15
1,X3.6,1,0.08072916666666667
2,X3.6,1,1e-15
0,X3.6,2,1e-15
1,X3.6,2,0.2578125
2,X3.6,2,1e-15
0,X3.6,3,1e-15
1,X3.6,3,0.296875
2,X3.6,3,0.30379746835230803
0,X3.6,4,0.5065913370985584
1,X3.6,4,0.2187500000000001
2,X3.6,4,0.4430379746867954
0,X3.6,5,0.4934086629014405
1,X3.6,5,0.14583333333333334
2,X3.6,5,0.25316455696089807
0,X3.7,1,1e-15
1,X3.7,1,0.078125
2,X3.7,1,1e-15
0,X3.7,2,1e-15
1,X3.7,2,0.2760416666666667
2,X3.7,2,1e-15
0,X3.7,3,1e-15
1,X3.7,3,0.28906250000000006
2,X3.7,3,0.23206751054690192
0,X3.7,4,0.5291902071551509
1,X3.7,4,0.21875000000000008
2,X3.7,4,0.569620253166868
0,X3.7,5,0.470809792844848
1,X3.7,5,0.13802083333333334
2,X3.7,5,0.19831223628623146
0,X3.8,1,1e-15
1,X3.8,1,0.0859375
2,X3.8,1,1e-15
0,X3.8,2,1e-15
1,X3.8,2,0.2552083333333333
2,X3.8,2,1e-15
0,X3.8,3,1e-15
1,X3.8,3,0.27343750000000006
2,X3.8,3,0.2447257383949147
0,X3.8,4,0.4802259886993981
1,X3.8,4,0.2630208333333333
2,X3.8,4,0.5063291139264819
0,X3.8,5,0.5197740113006007
1,X3.8,5,0.12239583333333337
2,X3.8,5,0.24894514767860476
0,X4.1,1,1e-15
1,X4.1,1,0.09635416666666667
2,X4.1,1,1e-15
0,X4.1,2,1e-15
1,X4.1,2,0.234375
2,X4.1,2,1e-15
0,X4.1,3,1e-15
1,X4.1,3,0.2812500000000001
2,X4.1,3,0.2658227848082694
0,X4.1,4,0.48775894538507364
1,X4.1,4,0.2421875
2,X4.1,4,0.5063291139261394
0,X4.1,5,0.5122410546149253
1,X4.1,5,0.14583333333333334
2,X4.1,5,0.2278481012655927
0,X4.2,1,1e-15
1,X4.2,1,0.06770833333333333
2,X4.2,1,1e-15
0,X4.2,2,1e-15
1,X4.2,2,0.21875
2,X4.2,2,1e-15
0,X4.2,3,1e-15
1,X4.2,3,0.3281250000000001
2,X4.2,3,0.22784810126423086
0,X4.2,4,0.49340866289927743
1,X4.2,4,0.2421875
2,X4.2,4,0.50210970464333
0,X4.2,5,0.5065913371007215
1,X4.2,5,0.14322916666666666
2,X4.2,5,0.2700421940924406
0,X4.3,1,1e-15
1,X4.3,1,0.10416666666666667
2,X4.3,1,1e-15
0,X4.3,2,1e-15
1,X4.3,2,0.2682291666666667
2,X4.3,2,1e-15
0,X4.3,3,1e-15
1,X4.3,3,0.25520833333333337
2,X4.3,3,0.23628691982957287
0,X4.3,4,0.4764595103568847
1,X4.3,4,0.2265625
2,X4.3,4,0.5400843881872944
0,X4.3,5,0.5235404896431143
1,X4.3,5,0.1458333333333334
2,X4.3,5,0.22362869198313415
0,X4.4,1,1e-15
1,X4.4,1,0.0625
2,X4.4,1,1e-15
0,X4.4,2,1e-15
1,X4.4,2,0.2760416666666667
2,X4.4,2,1e-15
0,X4.4,3,1e-15
1,X4.4,3,0.3177083333333333
2,X4.4,3,0.2700421940909405
0,X4.4,4,0.527306967986124
1,X4.4,4,0.21093750000000003
2,X4.4,4,0.5232067510522145
0,X4.4,5,0.47269303201387486
1,X4.4,5,0.13281250000000008
2,X4.4,5,0.2067510548568465
0,X4.5,1,1e-15
1,X4.5,1,0.09635416666666667
2,X4.5,1,1e-15
0,X4.5,2,1e-15
1,X4.5,2,0.24739583333333334
2,X4.5,2,1e-15
0,X4.5,3,1e-15
1,X4.5,3,0.28125
2,X4.5,3,0.21097046413354725
0,X4.5,4,0.4745762711857041
1,X4.5,4,0.2604166666666667
2,X4.5,4,0.4894514767947946
0,X4.5,5,0.5254237288142947
1,X4.5,5,0.11458333333333341
2,X4.5,5,0.29957805907165963
0,X4.6,1,1e-15
1,X4.6,1,0.08854166666666667
2,X4.6,1,1e-15
0,X4.6,2,1e-15
1,X4.6,2,0.22916666666666666
2,X4.6,2,1e-15
0,X4.6,3,1e-15
1,X4.6,3,0.296875
2,X4.6,3,0.20253164556820538
0,X4.6,4,0.5310734463268804
1,X4.6,4,0.2526041666666668
2,X4.6,4,0.5063291139260225
0,X4.6,5,0.4689265536731185
1,X4.6,5,0.1328125
2,X4.6,5,0.2911392405057736
0,X1.3,1,1e-15
1,X1.3,1,0.09375
2,X1.3,1,1e-15
0,X1.3,2,1e-15
1,X1.3,2,0.2760416666666667
2,X1.3,2,1e-15
0,X1.3,3,1e-15
1,X1.3,3,0.27083333333333337
2,X1.3,3,0.20675105485087625
0,X1.3,4,0.5009416195856715
1,X1.3,4,0.24479166666666674
2,X1.3,4,0.5400843881854157
0,X1.3,5,0.4990583804143273
1,X1.3,5,0.11458333333333333
2,X1.3,5,0.25316455696370954
0,X4.7,1,1e-15
1,X4.7,1,0.09114583333333333
2,X4.7,1,1e-15
0,X4.7,2,1e-15
1,X4.7,2,0.234375
2,X4.7,2,1e-15
0,X4.7,3,1e-15
1,X4.7,3,0.23437500000000008
2,X4.7,3,0.3037974683523079
0,X4.7,4,0.4896421845580269
1,X4.7,4,0.2838541666666667
2,X4.7,4,0.426160337551868
0,X4.7,5,0.510357815441972
1,X4.7,5,0.15625000000000003
2,X4.7,5,0.2700421940958255
0,X4.8,1,1e-15
1,X4.8,1,0.08333333333333333
2,X4.8,1,1e-15
0,X4.8,2,1e-15
1,X4.8,2,0.25
2,X4.8,2,1e-15
0,X4.8,3,1e-15
1,X4.8,3,0.28645833333333337
2,X4.8,3,0.21518987341621815
0,X4.8,4,0.5028248587566156
1,X4.8,4,0.2656250000000001
2,X4.8,4,0.5316455696210516
0,X4.8,5,0.49717514124338325
1,X4.8,5,0.11458333333333333
2,X4.8,5,0.25316455696273177
0,X5.1,1,1e-15
1,X5.1,1,0.08072916666666667
2,X5.1,1,1e-15
0,X5.1,2,1e-15
1,X5.1,2,0.2552083333333333
2,X5.1,2,1e-15
0,X5.1,3,1e-15
1,X5.1,3,0.2890625000000001
2,X5.1,3,0.23628691982957276
0,X5.1,4,0.5291902071554783
1,X5.1,4,0.23177083333333334
2,X5.1,4,0.5063291139260709
0,X5.1,5,0.4708097928445206
1,X5.1,5,0.14322916666666669
2,X5.1,5,0.2573839662443579
0,X5.2,1,1e-15
1,X5.2,1,0.10416666666666667
2,X5.2,1,1e-15
0,X5.2,2,1e-15
1,X5.2,2,0.19010416666666666
2,X5.2,2,1e-15
0,X5.2,3,1e-15
1,X5.2,3,0.2682291666666668
2,X5.2,3,0.2405063291122437
0,X5.2,4,0.4934086629000979
1,X5.2,4,0.296875
2,X5.2,4,0.5105485232068334
0,X5.2,5,0.5065913370999009
1,X5.2,5,0.14062500000000003
2,X5.2,5,0.2489451476809245
0,X5.3,1,1e-15
1,X5.3,1,0.08333333333333333
2,X5.3,1,1e-15
0,X5.3,2,1e-15
1,X5.3,2,0.21875
2,X5.3,2,1e-15
0,X5.3,3,1e-15
1,X5.3,3,0.3125
2,X5.3,3,0.24472573839491482
0,X5.3,4,0.4971751412434033
1,X5.3,4,0.25781250000000006
2,X5.3,4,0.49789029535760143
0,X5.3,5,0.5028248587565955
1,X5.3,5,0.12760416666666674
2,X5.3,5,0.2573839662474853
0,X5.4,1,1e-15
1,X5.4,1,0.12760416666666666
2,X5.4,1,1e-15
0,X5.4,2,1e-15
1,X5.4,2,0.2421875
2,X5.4,2,1e-15
0,X5.4,3,1e-15
1,X5.4,3,0.2708333333333334
2,X5.4,3,0.2700421940909404
0,X5.4,4,0.4689265536725171
1,X5.4,4,0.26562500000000006
2,X5.4,4,0.4810126582273133
0,X5.4,5,0.5310734463274818
1,X5.4,5,0.09375
2,X5.4,5,0.24894514768174783
0,X5.5,1,1e-15
1,X5.5,1,0.08854166666666667
2,X5.5,1,1e-15
0,X5.5,2,1e-15
1,X5.5,2,0.21354166666666666
2,X5.5,2,1e-15
0,X5.5,3,1e-15
1,X5.5,3,0.25000000000000006
2,X5.5,3,0.24472573839491477
0,X5.5,4,0.4783427495278355
1,X5.5,4,0.28125000000000006
2,X5.5,4,0.5274261603402447
0,X5.5,5,0.5216572504721634
1,X5.5,5,0.16666666666666674
2,X5.5,5,0.22784810126484203
0,X5.6,1,1e-15
1,X5.6,1,0.078125
2,X5.6,1,1e-15
0,X5.6,2,1e-15
1,X5.6,2,0.203125
2,X5.6,2,1e-15
0,X5.6,3,1e-15
1,X5.6,3,0.28125000000000006
2,X5.6,3,0.2278481012642309
0,X5.6,4,0.4726930320149023
1,X5.6,4,0.28645833333333337
2,X5.6,4,0.5443037974682201
0,X5.6,5,0.5273069679850966
1,X5.6,5,0.15104166666666666
2,X5.6,5,0.22784810126755042
0,X5.7,1,1e-15
1,X5.7,1,0.08854166666666667
2,X5.7,1,1e-15
0,X5.7,2,1e-15
1,X5.7,2,0.23697916666666666
2,X5.7,2,1e-15
0,X5.7,3,1e-15
1,X5.7,3,0.2682291666666667
2,X5.7,3,0.2616033755255986
0,X5.7,4,0.5084745762712148
1,X5.7,4,0.2786458333333335
2,X5.7,4,0.4767932489453047
0,X5.7,5,0.49152542372878405
1,X5.7,5,0.12760416666666666
2,X5.7,5,0.2616033755290982
0,X5.8,1,1e-15
1,X5.8,1,0.0859375
2,X5.8,1,1e-15
0,X5.8,2,1e-15
1,X5.8,2,0.265625
2,X5.8,2,1e-15
0,X5.8,3,1e-15
1,X5.8,3,0.2812500000000001
2,X5.8,3,0.23628691982957276
0,X5.8,4,0.4821092278706033
1,X5.8,4,0.23177083333333334
2,X5.8,4,0.5189873417748883
0,X5.8,5,0.5178907721293956
1,X5.8,5,0.13541666666666666
2,X5.8,5,0.24472573839554043
0,X1.4,1,1e-15
1,X1.4,1,0.1015625
2,X1.4,1,1e-15
0,X1.4,2,1e-15
1,X1.4,2,0.2109375
2,X1.4,2,1e-15
0,X1.4,3,1e-15
1,X1.4,3,0.2994791666666667
2,X1.4,3,0.2151898734162182
0,X1.4,4,0.4802259887003501
1,X1.4,4,0.2630208333333335
2,X1.4,4,0.514767932489691
0,X1.4,5,0.5197740112996488
1,X1.4,5,0.125
2,X1.4,5,0.27004219409409225
0,Y1.1,1,1e-15
1,Y1.1,1,0.057291666666666664
2,Y1.1,1,1e-15
0,Y1.1,2,1e-15
1,Y1.1,2,0.2760416666666667
2,Y1.1,2,1e-15
0,Y1.1,3,1e-15
1,Y1.1,3,0.2630208333333333
2,Y1.1,3,0.2869198312216243
0,Y1.1,4,0.5178907721287203
1,Y1.1,4,0.2447916666666667
2,Y1.1,4,0.4725738396612845
0,Y1.1,5,0.4821092278712786
1,Y1.1,5,0.15885416666666677
2,Y1.1,5,0.24050632911709277
0,Y1.2,1,1e-15
1,Y1.2,1,0.0625
2,Y1.2,1,1e-15
0,Y1.2,2,1e-15
1,Y1.2,2,0.2838541666666667
2,Y1.2,2,1e-15
0,Y1.2,3,1e-15
1,Y1.2,3,0.26302083333333337
2,Y1.2,3,0.24894514767758572
0,Y1.2,4,0.47080979284362956
1,Y1.2,4,0.2473958333333334
2,Y1.2,4,0.4936708860759268
0,Y1.2,5,0.5291902071563692
1,Y1.2,5,0.14322916666666666
2,Y1.2,5,0.2573839662464889
0,Y1.3,1,1e-15
1,Y1.3,1,0.059895833333333336
2,Y1.3,1,1e-15
0,Y1.3,2,1e-15
1,Y1.3,2,0.234375
2,Y1.3,2,1e-15
0,Y1.3,3,1e-15
1,Y1.3,3,0.28125
2,Y1.3,3,0.19409282700286348
0,Y1.3,4,0.4764595103576187
1,Y1.3,4,0.2786458333333334
2,Y1.3,4,0.5527426160336627
0,Y1.3,5,0.5235404896423802
1,Y1.3,5,0.14583333333333337
2,Y1.3,5,0.2531645569634753
0,Y1.4,1,1e-15
1,Y1.4,1,0.0703125
2,Y1.4,1,1e-15
0,Y1.4,2,1e-15
1,Y1.4,2,0.234375
2,Y1.4,2,1e-15
0,Y1.4,3,1e-15
1,Y1.4,3,0.28125
2,Y1.4,3,0.2236286919815601
0,Y1.4,4,0.49529190207035917
1,Y1.4,4,0.2708333333333334
2,Y1.4,4,0.47257383966530253
0,Y1.4,5,0.5047080979296397
1,Y1.4,5,0.1432291666666667
2,Y1.4,5,0.3037974683531388
0,Y1.5,1,1e-15
1,Y1.5,1,0.09895833333333333
2,Y1.5,1,1e-15
0,Y1.5,2,1e-15
1,Y1.5,2,0.3046875
2,Y1.5,2,1e-15
0,Y1.5,3,1e-15
1,Y1.5,3,0.2656250000000001
2,Y1.5,3,0.20253164556820524
0,Y1.5,4,0.457627118644546
1,Y1.5,4,0.1979166666666667
2,Y1.5,4,0.5232067510533223
0,Y1.5,5,0.5423728813554528
1,Y1.5,5,0.1328125
2,Y1.5,5,0.274261603378474
0,Y1.6,1,1e-15
1,Y1.6,1,0.10416666666666667
2,Y1.6,1,1e-15
0,Y1.6,2,1e-15
1,Y1.6,2,0.2552083333333333
2,Y1.6,2,1e-15
0,Y1.6,3,1e-15
1,Y1.6,3,0.2604166666666668
2,Y1.6,3,0.24472573839491465
0,Y1.6,4,0.499058380414818
1,Y1.6,4,0.2526041666666667
2,Y1.6,4,0.5063291139228672
0,Y1.6,5,0.5009416195851809
1,Y1.6,5,0.12760416666666666
2,Y1.6,5,0.24894514768221976
0,Y1.7,1,1e-15
1,Y1.7,1,0.09375
2,Y1.7,1,1e-15
0,Y1.7,2,1e-15
1,Y1.7,2,0.2604166666666667
2,Y1.7,2,1e-15
0,Y1.7,3,1e-15
1,Y1.7,3,0.2760416666666667
2,Y1.7,3,0.2531645569602567
0,Y1.7,4,0.4670433145004525
1,Y1.7,4,0.2421875
2,Y1.7,4,0.44725738396747855
0,Y1.7,5,0.5329566854995466
1,Y1.7,5,0.12760416666666677
2,Y1.7,5,0.2995780590722663
0,Y1.8,1,1e-15
1,Y1.8,1,0.08854166666666667
2,Y1.8,1,1e-15
0,Y1.8,2,1e-15
1,Y1.8,2,0.2630208333333333
2,Y1.8,2,1e-15
0,Y1.8,3,1e-15
1,Y1.8,3,0.24479166666666674
2,Y1.8,3,0.24894514767758566
0,Y1.8,4,0.4896421845568841
1,Y1.8,4,0.2526041666666667
2,Y1.8,4,0.5063291139251764
0,Y1.8,5,0.5103578154431148
1,Y1.8,5,0.15104166666666666
2,Y1.8,5,0.24472573839723946
0,Y2.1,1,1e-15
1,Y2.1,1,0.0703125
2,Y2.1,1,1e-15
0,Y2.1,2,1e-15
1,Y2.1,2,0.2604166666666667
2,Y2.1,2,1e-15
0,Y2.1,3,1e-15
1,Y2.1,3,0.23697916666666666
2,Y2.1,3,0.23628691982957292
0,Y2.1,4,0.49905838041463846
1,Y2.1,4,0.2760416666666668
2,Y2.1,4,0.5021097046405983
0,Y2.1,5,0.5009416195853605
1,Y2.1,5,0.15625
2,Y2.1,5,0.26160337552983015
0,Y2.2,1,1e-15
1,Y2.2,1,0.0859375
2,Y2.2,1,1e-15
0,Y2.2,2,1e-15
1,Y2.2,2,0.2526041666666667
2,Y2.2,2,1e-15
0,Y2.2,3,1e-15
1,Y2.2,3,0.2473958333333334
2,Y2.2,3,0.24050632911224376
0,Y2.2,4,0.5254237288132165
1,Y2.2,4,0.2604166666666667
2,Y2.2,4,0.48101265822892586
0,Y2.2,5,0.4745762711867824
1,Y2.2,5,0.1536458333333334
2,Y2.2,5,0.2784810126588319
0,X1.5,1,1e-15
1,X1.5,1,0.06770833333333333
2,X1.5,1,1e-15
0,X1.5,2,1e-15
1,X1.5,2,0.234375
2,X1.5,2,1e-15
0,X1.5,3,1e-15
1,X1.5,3,0.2578125
2,X1.5,3,0.232067510546902
0,X1.5,4,0.4877589453864424
1,X1.5,4,0.2942708333333335
2,X1.5,4,0.5274261603364275
0,X1.5,5,0.5122410546135565
1,X1.5,5,0.14583333333333334
2,X1.5,5,0.24050632911667202
0,Y2.3,1,1e-15
1,Y2.3,1,0.109375
2,Y2.3,1,1e-15
0,Y2.3,2,1e-15
1,Y2.3,2,0.23697916666666666
2,Y2.3,2,1e-15
0,Y2.3,3,1e-15
1,Y2.3,3,0.24479166666666674
2,Y2.3,3,0.23206751054690186
0,Y2.3,4,0.5028248587564926
1,Y2.3,4,0.25520833333333337
2,Y2.3,4,0.5021097046426306
0,Y2.3,5,0.49717514124350615
1,Y2.3,5,0.15364583333333337
2,Y2.3,5,0.26582278481046895
0,Y2.4,1,1e-15
1,Y2.4,1,0.08854166666666667
2,Y2.4,1,1e-15
0,Y2.4,2,1e-15
1,Y2.4,2,0.22135416666666666
2,Y2.4,2,1e-15
0,Y2.4,3,1e-15
1,Y2.4,3,0.24479166666666677
2,Y2.4,3,0.2616033755255984
0,Y2.4,4,0.5160075329567355
1,Y2.4,4,0.3020833333333333
2,Y2.4,4,0.4852320675106509
0,Y2.4,5,0.4839924670432633
1,Y2.4,5,0.14322916666666669
2,Y2.4,5,0.2531645569637521
0,Y2.5,1,1e-15
1,Y2.5,1,0.09895833333333333
2,Y2.5,1,1e-15
0,Y2.5,2,1e-15
1,Y2.5,2,0.22395833333333334
2,Y2.5,2,1e-15
0,Y2.5,3,1e-15
1,Y2.5,3,0.25
2,Y2.5,3,0.2869198312216243
0,Y2.5,4,0.5122410546125977
1,Y2.5,4,0.2838541666666668
2,Y2.5,4,0.472573839665722
0,Y2.5,5,0.4877589453874011
1,Y2.5,5,0.14322916666666666
2,Y2.5,5,0.24050632911265524
0,Y2.6,1,1e-15
1,Y2.6,1,0.08333333333333333
2,Y2.6,1,1e-15
0,Y2.6,2,1e-15
1,Y2.6,2,0.24739583333333334
2,Y2.6,2,1e-15
0,Y2.6,3,1e-15
1,Y2.6,3,0.2578125
2,Y2.6,3,0.232067510546902
0,Y2.6,4,0.5442561205280304
1,Y2.6,4,0.24739583333333345
2,Y2.6,4,0.5147679324880361
0,Y2.6,5,0.45574387947196854
1,Y2.6,5,0.1640625
2,Y2.6,5,0.25316455696506346
0,Y2.7,1,1e-15
1,Y2.7,1,0.0703125
2,Y2.7,1,1e-15
0,Y2.7,2,1e-15
1,Y2.7,2,0.265625
2,Y2.7,2,1e-15
0,Y2.7,3,1e-15
1,Y2.7,3,0.2604166666666667
2,Y2.7,3,0.2616033755255986
0,Y2.7,4,0.4726930320150631
1,Y2.7,4,0.3072916666666668
2,Y2.7,4,0.5105485232064925
0,Y2.7,5,0.5273069679849358
1,Y2.7,5,0.09635416666666667
2,Y2.7,5,0.22784810126791044
0,Y2.8,1,1e-15
1,Y2.8,1,0.08854166666666667
2,Y2.8,1,1e-15
0,Y2.8,2,1e-15
1,Y2.8,2,0.265625
2,Y2.8,2,1e-15
0,Y2.8,3,1e-15
1,Y2.8,3,0.2604166666666667
2,Y2.8,3,0.29957805906963714
0,Y2.8,4,0.5065913370996452
1,Y2.8,4,0.2421875000000001
2,Y2.8,4,0.4472573839670316
0,Y2.8,5,0.49340866290035373
1,Y2.8,5,0.14322916666666669
2,Y2.8,5,0.2531645569633328
0,Y3.1,1,1e-15
1,Y3.1,1,0.09375
2,Y3.1,1,1e-15
0,Y3.1,2,1e-15
1,Y3.1,2,0.2421875
2,Y3.1,2,1e-15
0,Y3.1,3,1e-15
1,Y3.1,3,0.2604166666666667
2,Y3.1,3,0.25738396624292764
0,Y3.1,4,0.4915254237291585
1,Y3.1,4,0.2682291666666668
2,Y3.1,4,0.48945147679249007
0,Y3.1,5,0.5084745762708405
1,Y3.1,5,0.13541666666666666
2,Y3.1,5,0.2531645569645838
0,Y3.2,1,1e-15
1,Y3.2,1,0.057291666666666664
2,Y3.2,1,1e-15
0,Y3.2,2,1e-15
1,Y3.2,2,0.28125
2,Y3.2,2,1e-15
0,Y3.2,3,1e-15
1,Y3.2,3,0.22916666666666674
2,Y3.2,3,0.2151898734162181
0,Y3.2,4,0.4745762711856769
1,Y3.2,4,0.25520833333333337
2,Y3.2,4,0.5991561181443006
0,Y3.2,5,0.525423728814322
1,Y3.2,5,0.17708333333333337
2,Y3.2,5,0.18565400843948288
0,Y3.3,1,1e-15
1,Y3.3,1,0.07552083333333333
2,Y3.3,1,1e-15
0,Y3.3,2,1e-15
1,Y3.3,2,0.2786458333333333
2,Y3.3,2,1e-15
0,Y3.3,3,1e-15
1,Y3.3,3,0.2630208333333334
2,Y3.3,3,0.2742616033736113
0,Y3.3,4,0.48964218455651587
1,Y3.3,4,0.25520833333333337
2,Y3.3,4,0.4810126582299757
0,Y3.3,5,0.5103578154434831
1,Y3.3,5,0.12760416666666666
2,Y3.3,5,0.24472573839641448
0,Y3.4,1,1e-15
1,Y3.4,1,0.07552083333333333
2,Y3.4,1,1e-15
0,Y3.4,2,1e-15
1,Y3.4,2,0.2552083333333333
2,Y3.4,2,1e-15
0,Y3.4,3,1e-15
1,Y3.4,3,0.2786458333333333
2,Y3.4,3,0.2236286919815601
0,Y3.4,4,0.5273069679848982
1,Y3.4,4,0.23958333333333345
2,Y3.4,4,0.4810126582282515
0,Y3.4,5,0.47269303201510077
1,Y3.4,5,0.15104166666666666
2,Y3.4,5,0.29535864979018994
0,X1.6,1,1e-15
1,X1.6,1,0.0859375
2,X1.6,1,1e-15
0,X1.6,2,1e-15
1,X1.6,2,0.2578125
2,X1.6,2,1e-15
0,X1.6,3,1e-15
1,X1.6,3,0.23177083333333334
2,X1.6,3,0.2953586497869662
0,X1.6,4,0.49717514124211515
1,X1.6,4,0.2734375000000001
2,X1.6,4,0.4345991561204231
